Performance ID,Activity ID,Activity Type ID,Distance,Calories,Time (minutes),Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Avg Pace (min/km),Best Pace (min/km)
140_AT001,140,AT001,3.79,302.0,25.42,139,150,2.9,157.0,6.7,5.82
141_AT003,141,AT003,,159.0,20.22,115,136,1.1,,,
142_AT002,142,AT002,2.75,246.0,25.73,130,163,2.8,113.0,9.35,5.45
143_AT001,143,AT001,3.16,279.0,24.4,141,161,3.1,140.0,7.73,5.6
144_AT002,144,AT002,3.69,338.0,24.6,159,176,3.6,152.0,6.67,5.22
145_AT002,145,AT002,5.02,425.0,30.07,158,177,4.0,159.0,6.0,4.98
146_AT002,146,AT002,8.04,798.0,54.1,166,195,5.0,161.0,6.73,5.43
147_AT002,147,AT002,6.29,540.0,38.13,167,185,4.4,160.0,6.07,4.5
148_AT002,148,AT002,4.07,345.0,27.88,147,165,3.2,149.0,6.85,5.62
149_AT004,149,AT004,,161.0,25.15,135,162,2.9,,2.35,2.43
150_AT002,150,AT002,2.49,199.0,16.75,142,168,2.8,157.0,6.72,5.17
151_AT002,151,AT002,1.52,139.0,10.08,158,170,2.6,149.0,6.65,4.87
152_AT002,152,AT002,4.24,356.0,26.07,155,174,3.6,162.0,6.15,5.63
153_AT002,153,AT002,5.07,418.0,30.1,161,179,3.8,159.0,5.93,5.18
154_AT002,154,AT002,5.09,471.0,35.32,156,180,3.9,135.0,6.95,4.98
155_AT007,155,AT007,0.0,444.0,40.35,143,170,3.6,67.0,,
156_AT007,156,AT007,0.0,340.0,30.03,143,175,3.4,72.0,,
157_AT007,157,AT007,0.0,440.0,44.77,137,168,3.5,67.0,,
158_AT007,158,AT007,0.0,468.0,46.53,135,164,3.1,50.0,,
159_AT002,159,AT002,9.0,893.0,65.88,162,190,5.0,156.0,7.32,6.05
160_AT007,160,AT007,0.0,278.0,26.17,132,156,2.8,63.0,,
161_AT007,161,AT007,0.0,213.0,27.8,117,151,2.3,42.0,,
162_AT004,162,AT004,925.0,233.0,16.62,121,138,2.0,,1.67,0.8
163_AT004,163,AT004,,266.0,19.07,118,139,1.8,,1.73,0.9
164_AT007,164,AT007,0.0,313.0,25.18,147,172,3.3,79.0,,
165_AT008,165,AT008,7.59,,172.67,114,156,2.7,45.0,22.77,1.1
166_AT008,166,AT008,9.91,,210.12,110,151,2.6,63.0,21.2,1.72
167_AT002,167,AT002,4.36,397.0,31.95,152,173,3.5,134.0,7.32,4.65
168_AT007,168,AT007,0.0,565.0,68.67,127,159,3.2,58.0,,
169_AT007,169,AT007,0.0,291.0,24.23,138,162,3.0,77.0,,
170_AT002,170,AT002,4.67,392.0,41.3,135,166,3.0,124.0,8.85,5.65
171_AT002,171,AT002,5.44,508.0,39.3,155,177,3.7,141.0,7.22,4.87
172_AT005,172,AT005,0.0,190.0,51.88,83,118,0.4,,,
173_AT007,173,AT007,0.0,265.0,25.77,133,162,2.9,53.0,,
174_AT002,174,AT002,4.91,407.0,32.38,144,175,3.5,166.0,6.6,4.95
175_AT007,175,AT007,0.0,296.0,25.5,137,157,3.0,65.0,,
176_AT002,176,AT002,4.73,404.0,34.13,145,167,3.1,157.0,7.22,5.65
177_AT007,177,AT007,0.0,132.0,25.88,93,119,0.6,28.0,,
178_AT002,178,AT002,5.66,554.0,39.02,164,190,4.7,141.0,6.88,4.68
179_AT002,179,AT002,6.02,471.0,40.13,137,154,3.1,166.0,6.67,2.03
180_AT002,180,AT002,4.61,378.0,34.03,140,162,3.1,150.0,7.38,4.47
181_AT007,181,AT007,0.0,508.0,43.63,139,158,3.4,48.0,,
182_AT007,182,AT007,0.0,311.0,31.72,123,145,2.4,17.0,,
183_AT002,183,AT002,5.42,447.0,32.97,157,180,3.8,160.0,6.08,5.23
184_AT002,184,AT002,4.2,340.0,26.62,145,160,3.2,163.0,6.35,5.65
185_AT002,185,AT002,5.03,407.0,31.65,147,167,3.4,164.0,6.3,5.57
186_AT002,186,AT002,4.56,374.0,30.08,148,166,3.2,163.0,6.6,5.5
187_AT002,187,AT002,10.0,806.0,56.48,163,181,5.0,165.0,5.65,4.6
188_AT002,188,AT002,8.02,651.0,51.38,145,182,4.1,164.0,6.4,4.63
189_AT007,189,AT007,0.0,275.0,26.18,135,177,3.1,57.0,,
190_AT002,190,AT002,6.01,536.0,39.08,153,174,4.3,161.0,6.5,5.85
191_AT007,191,AT007,0.0,169.0,38.22,121,142,2.1,24.0,,
192_AT002,192,AT002,4.76,382.0,30.17,148,167,3.4,159.0,6.33,5.52
193_AT002,193,AT002,5.4,442.0,34.12,150,172,3.9,150.0,6.32,3.78
194_AT002,194,AT002,5.01,397.0,30.55,147,170,3.6,159.0,6.1,4.83
195_AT002,195,AT002,6.4,596.0,41.43,167,184,5.0,157.0,6.48,5.18
196_AT002,196,AT002,4.67,387.0,30.05,148,167,3.4,159.0,6.43,5.35
197_AT002,197,AT002,4.83,390.0,30.1,152,168,3.5,156.0,6.23,5.3
198_AT002,198,AT002,8.0,673.0,52.0,0,0,,,6.5,
199_AT002,199,AT002,5.01,406.0,30.32,154,173,3.7,162.0,6.05,5.3
200_AT002,200,AT002,4.03,327.0,25.85,150,173,3.3,154.0,6.42,5.43
201_AT002,201,AT002,3.77,310.0,35.1,128,154,2.7,122.0,9.32,5.82
202_AT002,202,AT002,5.38,441.0,33.05,152,171,3.7,159.0,6.15,4.47
203_AT002,203,AT002,3.53,284.0,20.9,153,169,3.2,161.0,5.92,5.08
204_AT002,204,AT002,5.02,427.0,31.67,150,173,3.7,155.0,6.32,5.37
205_AT002,205,AT002,5.01,404.0,30.4,150,170,3.6,156.0,6.07,4.83
206_AT002,206,AT002,4.54,379.0,30.12,146,163,3.2,157.0,6.63,5.25
207_AT002,207,AT002,3.1,244.0,19.92,143,163,3.0,149.0,6.43,5.05
208_AT002,208,AT002,5.15,415.0,30.1,156,172,3.8,160.0,5.85,3.85
209_AT002,209,AT002,7.6,615.0,43.1,158,173,4.6,163.0,5.67,4.8
210_AT009,210,AT009,32.19,742.0,66.03,135,158,3.6,,,
211_AT002,211,AT002,6.98,580.0,49.83,145,168,4.0,132.0,7.13,4.88
212_AT004,212,AT004,,151.0,20.27,129,159,2.6,,2.03,2.25
213_AT010,213,AT010,19.1,,165.15,135,168,4.3,,,
214_AT002,214,AT002,7.68,613.0,44.08,157,174,4.3,162.0,5.75,5.08
215_AT002,215,AT002,5.04,413.0,31.82,135,170,3.6,147.0,6.3,4.87
216_AT002,216,AT002,4.46,392.0,30.13,158,174,3.4,157.0,6.77,5.0
217_AT002,217,AT002,5.15,432.0,38.25,140,157,3.4,136.0,7.42,4.38
218_AT007,218,AT007,0.0,425.0,38.23,134,169,3.4,71.0,,
219_AT007,219,AT007,0.0,321.0,29.68,136,162,3.2,53.0,,
220_AT002,220,AT002,5.11,415.0,31.1,151,171,3.8,157.0,6.08,4.07
221_AT005,221,AT005,0.0,399.0,34.7,137,167,3.1,,,
222_AT007,222,AT007,0.0,369.0,30.33,139,161,3.2,44.0,,
223_AT005,223,AT005,0.0,436.0,40.67,128,167,3.3,,,
224_AT007,224,AT007,0.0,255.0,26.68,120,150,2.2,41.0,,
225_AT007,225,AT007,0.0,469.0,38.9,141,164,3.7,73.0,,
226_AT008,226,AT008,6.01,589.0,107.73,97,128,1.5,76.0,17.93,10.03
227_AT008,227,AT008,8.73,704.0,127.8,95,120,1.4,82.0,14.63,7.9
228_AT007,228,AT007,0.0,345.0,46.98,109,150,2.4,30.0,,
229_AT007,229,AT007,0.0,566.0,47.95,139,158,3.5,53.0,,
230_AT005,230,AT005,0.0,365.0,39.6,124,164,2.8,,,
231_AT007,231,AT007,0.0,294.0,27.78,126,148,2.6,64.0,,
232_AT005,232,AT005,0.0,327.0,30.07,130,159,2.9,,,
233_AT002,233,AT002,4.93,403.0,30.1,150,166,3.5,163.0,6.1,4.93
234_AT007,234,AT007,0.0,399.0,33.5,137,163,3.3,65.0,,
235_AT002,235,AT002,5.46,462.0,40.18,143,161,3.3,143.0,7.37,5.38
236_AT007,236,AT007,0.0,252.0,22.7,133,159,2.8,73.0,,
237_AT002,237,AT002,4.63,393.0,34.98,142,163,3.2,137.0,7.55,5.6
238_AT005,238,AT005,0.0,514.0,48.23,137,184,3.5,,,
