Lap ID,Activity ID,Best Lap Time (min),Number of Laps,Total Distance (km),Lap Distance (km),Moving Time (min),Elapsed Time (min)
LAP159,217,5.56,6,5.15,0.8583333333333334,33.3,38.25
LAP160,220,1.64,6,5.11,0.8516666666666667,30.43,31.1
LAP161,233,0.09,6,4.93,0.8216666666666667,30.07,30.1
LAP162,235,6.39,6,5.46,0.91,38.83,40.18
LAP163,237,6.34,5,4.63,0.9259999999999999,32.2,34.98
LAP164,239,3.95,6,5.43,0.9049999999999999,35.82,36.95
LAP165,242,0.1,6,4.47,0.745,30.08,30.23
LAP166,243,4.86,5,4.84,0.968,27.82,27.95
LAP167,246,3.98,6,5.1,0.85,28.28,32.45
LAP168,249,0.22,10,7.54,0.754,0.0,54.42
LAP169,251,5.98,6,5.16,0.86,0.0,40.55
LAP170,254,0.06,8,4.61,0.57625,0.0,30.22
LAP171,255,1.0,22,5.78,0.26272727272727275,0.0,40.67
LAP172,256,1.54,7,4.72,0.6742857142857143,0.0,32.4
LAP173,257,0.19,20,3.49,0.17450000000000002,0.0,26.67
LAP174,258,0.18,7,4.62,0.66,0.0,30.18
LAP175,259,0.11,5,2.32,0.46399999999999997,0.0,15.2
LAP176,260,2.79,3,2.46,0.82,0.0,14.32
LAP177,261,0.13,9,7.36,0.8177777777777778,0.0,43.93
LAP178,262,2.84,10,9.03,0.9029999999999999,0.0,52.18
LAP179,263,0.1,8,6.97,0.87125,0.0,42.1
LAP180,264,0.04,8,6.59,0.82375,38.98,39.03
LAP181,265,3.4,8,7.22,0.9025,42.38,42.4
LAP182,266,0.11,8,6.55,0.81875,36.0,36.1
LAP183,270,2.12,8,7.36,0.92,40.73,40.77
LAP184,271,0.99,9,7.46,0.8288888888888889,43.03,43.1
LAP185,272,0.11,6,5.0,0.8333333333333334,29.58,30.12
LAP186,273,0.99,9,7.39,0.8211111111111111,42.7,42.75
LAP187,274,5.53,5,4.87,0.974,30.52,31.68
LAP188,275,0.19,6,5.02,0.8366666666666666,29.32,29.33
LAP189,276,0.21,5,4.03,0.806,25.3,25.42
LAP190,277,4.0,4,3.39,0.8475,22.57,23.7
LAP191,282,2.54,5,4.07,0.8140000000000001,29.2,31.13
LAP192,284,2.87,6,5.44,0.9066666666666667,34.3,34.43
LAP193,291,5.75,6,5.17,0.8616666666666667,31.7,37.62
LAP194,295,5.12,5,4.89,0.978,28.38,28.4
LAP195,301,4.19,5,4.73,0.9460000000000001,27.08,27.47
LAP196,302,5.51,5,4.95,0.99,29.7,29.72
LAP197,303,0.33,6,5.06,0.8433333333333333,29.7,29.77
LAP198,304,4.77,5,4.77,0.954,28.3,28.32
LAP199,305,3.52,5,4.64,0.9279999999999999,25.73,25.83
LAP200,306,5.53,5,4.89,0.978,29.7,29.72
LAP201,307,5.5,5,4.91,0.982,29.82,30.22
LAP202,308,4.24,5,4.78,0.9560000000000001,26.28,26.28
LAP203,309,0.18,4,3.03,0.7575,16.77,16.78
LAP204,310,4.15,5,4.74,0.9480000000000001,27.7,27.72
LAP205,311,4.72,6,5.73,0.9550000000000001,35.52,35.62
LAP206,312,1.18,7,6.2,0.8857142857142858,34.72,35.12
LAP207,313,0.72,4,3.11,0.7775,15.97,16.02
LAP208,314,1.95,6,5.4,0.9,28.48,28.52
LAP209,315,2.08,6,5.4,0.9,28.35,28.38
LAP210,316,4.08,6,5.69,0.9483333333333334,33.17,33.23
LAP211,318,0.09,6,5.01,0.835,28.75,29.05
LAP212,319,0.83,7,6.15,0.8785714285714287,34.7,34.8
LAP213,321,1.28,6,5.24,0.8733333333333334,25.98,27.6
LAP214,322,5.01,5,4.83,0.966,32.12,32.13
LAP215,323,3.26,8,7.62,0.9525,41.88,41.92
LAP216,328,0.1,6,5.02,0.8366666666666666,26.82,26.93
LAP217,329,3.88,6,5.7,0.9500000000000001,31.07,31.18
LAP218,330,3.63,2,1.45,0.725,8.43,11.87
LAP219,331,1.16,7,6.22,0.8885714285714286,33.97,34.28
LAP220,332,0.53,6,5.11,0.8516666666666667,26.9,26.93
LAP221,337,1.22,8,7.22,0.9025,40.53,40.67
LAP222,340,0.93,8,7.17,0.89625,40.5,40.53
LAP223,342,0.88,8,7.15,0.89375,39.65,39.72
LAP224,345,0.94,8,7.18,0.8975,38.53,38.57
LAP225,347,3.75,6,6.0,1.0,29.37,29.9
LAP226,349,0.58,6,5.09,0.8483333333333333,30.65,30.8
LAP227,350,1.35,8,7.21,0.90125,39.17,39.23
LAP228,352,3.85,6,5.05,0.8416666666666667,27.05,32.22
LAP229,353,0.15,9,8.03,0.8922222222222221,40.22,40.42
LAP230,358,3.12,8,7.6,0.95,40.83,41.28
LAP231,360,3.65,8,7.71,0.96375,43.13,43.15
LAP232,364,2.52,10,8.07,0.807,47.17,47.22
LAP233,365,1.1,9,8.22,0.9133333333333334,39.82,39.9
LAP234,366,0.5,20,7.52,0.376,44.57,48.35
LAP235,367,2.28,9,7.36,0.8177777777777778,38.77,42.15
LAP236,368,0.03,20,17.92,0.8960000000000001,104.03,105.03
LAP237,370,0.05,29,5.33,0.18379310344827587,31.9,33.05
LAP238,371,0.01,18,7.88,0.43777777777777777,45.93,50.07
LAP239,374,0.12,11,7.62,0.6927272727272727,44.08,44.55
LAP240,375,0.08,28,4.2,0.15,26.72,31.23
LAP241,376,3.08,9,7.34,0.8155555555555556,40.03,41.27
LAP242,378,2.9,17,15.25,0.8970588235294118,94.25,97.12
LAP243,379,0.5,29,8.15,0.2810344827586207,50.82,51.0
LAP244,380,0.73,9,7.15,0.7944444444444445,39.42,39.77
LAP245,381,0.05,11,9.33,0.8481818181818181,49.93,50.0
LAP246,382,0.69,10,7.41,0.741,42.03,42.15
LAP247,383,1.33,9,7.19,0.798888888888889,39.7,40.1
LAP248,384,0.5,28,11.62,0.415,64.35,64.68
LAP249,385,3.87,9,7.86,0.8733333333333334,40.92,43.87
LAP250,386,0.35,19,16.56,0.871578947368421,90.05,90.6
LAP251,387,0.33,25,5.76,0.2304,31.75,31.8
LAP252,388,4.43,9,8.2,0.911111111111111,44.42,45.0
LAP253,389,0.35,22,6.51,0.2959090909090909,39.62,40.1
LAP254,390,2.0,2,4.5,2.25,3.92,0.07
LAP255,391,0.06,18,15.41,0.8561111111111112,84.78,85.05
LAP256,392,0.33,26,5.8,0.22307692307692306,33.62,35.5
LAP257,393,3.59,9,8.4,0.9333333333333333,49.65,50.02
LAP258,394,2.96,9,7.51,0.8344444444444444,44.03,45.0
LAP259,395,1.56,20,17.59,0.8795,97.68,100.0
LAP260,396,0.79,14,11.85,0.8464285714285714,66.77,67.03
LAP261,399,0.5,29,7.28,0.2510344827586207,46.5,54.35
